2023-09-24 17:58:26,469.bbq_producer.INFO ==================================================
2023-09-24 17:58:26,470.bbq_producer.INFO Today is 2023-09-24 at 05:58 PM
2023-09-24 17:58:26,498.bbq_producer.INFO Running on: nt Windows 10
2023-09-24 17:58:26,541.bbq_producer.INFO Python version:  3.10.9
2023-09-24 17:58:26,548.bbq_producer.INFO Python path: C:\Users\amaar\anaconda3
2023-09-24 17:58:26,565.bbq_producer.INFO Working dir: C:\Users\amaar\OneDrive\Desktop\NW\Data Streaming\streaming-05-smart-smoker-1
2023-09-24 17:58:26,577.bbq_producer.INFO ==================================================
2023-09-24 17:58:36,447.bbq_producer.INFO Seeing if you want to monitor RabbitMQ queues
2023-09-24 17:58:36,850.bbq_producer.INFO Answer is y.
2023-09-24 17:58:37,254.bbq_producer.INFO Skipping header row
2023-09-24 18:00:37,525.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '86.3') to 01-smoker
2023-09-24 18:00:37,587.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-A
2023-09-24 18:00:37,607.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-B
2023-09-24 18:01:07,763.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '86.3') to 01-smoker
2023-09-24 18:01:07,782.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-A
2023-09-24 18:01:07,806.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-B
2023-09-24 18:01:37,821.bbq_producer.INFO  [x] Sent ('5/22/2021 12:23', '92') to 01-smoker
2023-09-24 18:01:37,823.bbq_producer.INFO  [x] Sent ('5/22/2021 12:23', '') to 02-food-A
2023-09-24 18:01:37,824.bbq_producer.INFO  [x] Sent ('5/22/2021 12:23', '') to 02-food-B
2023-09-24 18:02:07,866.bbq_producer.INFO  [x] Sent ('5/22/2021 12:23', '92') to 01-smoker
2023-09-24 18:02:07,914.bbq_producer.INFO  [x] Sent ('5/22/2021 12:23', '') to 02-food-A
2023-09-24 18:02:07,950.bbq_producer.INFO  [x] Sent ('5/22/2021 12:23', '') to 02-food-B
2023-09-24 18:02:38,041.bbq_producer.INFO  [x] Sent ('5/22/2021 12:24', '96.8') to 01-smoker
2023-09-24 18:02:38,081.bbq_producer.INFO  [x] Sent ('5/22/2021 12:24', '') to 02-food-A
2023-09-24 18:02:38,116.bbq_producer.INFO  [x] Sent ('5/22/2021 12:24', '') to 02-food-B
2023-09-24 18:03:08,181.bbq_producer.INFO  [x] Sent ('5/22/2021 12:24', '96.8') to 01-smoker
2023-09-24 18:03:08,230.bbq_producer.INFO  [x] Sent ('5/22/2021 12:24', '') to 02-food-A
2023-09-24 18:03:08,280.bbq_producer.INFO  [x] Sent ('5/22/2021 12:24', '') to 02-food-B
2023-09-24 18:03:38,326.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '100.6') to 01-smoker
2023-09-24 18:03:38,363.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '') to 02-food-A
2023-09-24 18:03:38,445.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '') to 02-food-B
2023-09-24 18:04:08,533.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '100.9') to 01-smoker
2023-09-24 18:04:08,545.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '') to 02-food-A
2023-09-24 18:04:08,550.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '') to 02-food-B
2023-09-24 18:04:38,555.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '100.9') to 01-smoker
2023-09-24 18:04:38,556.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '') to 02-food-A
2023-09-24 18:04:38,558.bbq_producer.INFO  [x] Sent ('5/22/2021 12:25', '') to 02-food-B
2023-09-24 18:05:08,591.bbq_producer.INFO  [x] Sent ('5/22/2021 12:26', '104.8') to 01-smoker
2023-09-24 18:05:08,606.bbq_producer.INFO  [x] Sent ('5/22/2021 12:26', '') to 02-food-A
2023-09-24 18:05:08,611.bbq_producer.INFO  [x] Sent ('5/22/2021 12:26', '') to 02-food-B
2023-09-24 18:05:38,685.bbq_producer.INFO  [x] Sent ('5/22/2021 12:26', '104.8') to 01-smoker
2023-09-24 18:05:38,689.bbq_producer.INFO  [x] Sent ('5/22/2021 12:26', '') to 02-food-A
2023-09-24 18:05:38,691.bbq_producer.INFO  [x] Sent ('5/22/2021 12:26', '') to 02-food-B
2023-09-24 18:06:08,705.bbq_producer.INFO  [x] Sent ('5/22/2021 12:27', '108.2') to 01-smoker
2023-09-24 18:06:08,709.bbq_producer.INFO  [x] Sent ('5/22/2021 12:27', '') to 02-food-A
2023-09-24 18:06:08,712.bbq_producer.INFO  [x] Sent ('5/22/2021 12:27', '') to 02-food-B
2023-09-24 18:06:38,731.bbq_producer.INFO  [x] Sent ('5/22/2021 12:27', '108.2') to 01-smoker
2023-09-24 18:06:38,736.bbq_producer.INFO  [x] Sent ('5/22/2021 12:27', '') to 02-food-A
2023-09-24 18:06:38,741.bbq_producer.INFO  [x] Sent ('5/22/2021 12:27', '') to 02-food-B
2023-09-24 18:07:08,805.bbq_producer.INFO  [x] Sent ('5/22/2021 12:28', '111.4') to 01-smoker
2023-09-24 18:07:08,810.bbq_producer.INFO  [x] Sent ('5/22/2021 12:28', '') to 02-food-A
2023-09-24 18:07:08,813.bbq_producer.INFO  [x] Sent ('5/22/2021 12:28', '') to 02-food-B
2023-09-24 18:07:38,866.bbq_producer.INFO  [x] Sent ('5/22/2021 12:28', '111.4') to 01-smoker
2023-09-24 18:07:38,927.bbq_producer.INFO  [x] Sent ('5/22/2021 12:28', '') to 02-food-A
2023-09-24 18:07:39,008.bbq_producer.INFO  [x] Sent ('5/22/2021 12:28', '') to 02-food-B
2023-09-24 18:08:09,132.bbq_producer.INFO  [x] Sent ('5/22/2021 12:29', '114.2') to 01-smoker
2023-09-24 18:08:09,138.bbq_producer.INFO  [x] Sent ('5/22/2021 12:29', '') to 02-food-A
2023-09-24 18:08:09,140.bbq_producer.INFO  [x] Sent ('5/22/2021 12:29', '') to 02-food-B
2023-09-24 18:08:39,410.bbq_producer.INFO  [x] Sent ('5/22/2021 12:29', '114.2') to 01-smoker
2023-09-24 18:08:39,608.bbq_producer.INFO  [x] Sent ('5/22/2021 12:29', '') to 02-food-A
2023-09-24 18:08:39,767.bbq_producer.INFO  [x] Sent ('5/22/2021 12:29', '') to 02-food-B
2023-09-24 18:09:10,018.bbq_producer.INFO  [x] Sent ('5/22/2021 12:30', '116.9') to 01-smoker
2023-09-24 18:09:10,204.bbq_producer.INFO  [x] Sent ('5/22/2021 12:30', '') to 02-food-A
2023-09-24 18:09:10,264.bbq_producer.INFO  [x] Sent ('5/22/2021 12:30', '') to 02-food-B
2023-09-24 18:09:40,271.bbq_producer.INFO  [x] Sent ('5/22/2021 12:30', '116.9') to 01-smoker
2023-09-24 18:09:40,272.bbq_producer.INFO  [x] Sent ('5/22/2021 12:30', '') to 02-food-A
2023-09-24 18:09:40,274.bbq_producer.INFO  [x] Sent ('5/22/2021 12:30', '') to 02-food-B
2023-09-24 18:10:10,352.bbq_producer.INFO  [x] Sent ('5/22/2021 12:31', '119.4') to 01-smoker
2023-09-24 18:10:10,392.bbq_producer.INFO  [x] Sent ('5/22/2021 12:31', '') to 02-food-A
2023-09-24 18:10:10,395.bbq_producer.INFO  [x] Sent ('5/22/2021 12:31', '') to 02-food-B
2023-09-24 18:10:40,474.bbq_producer.INFO  [x] Sent ('5/22/2021 12:31', '119.4') to 01-smoker
2023-09-24 18:10:40,588.bbq_producer.INFO  [x] Sent ('5/22/2021 12:31', '') to 02-food-A
2023-09-24 18:10:40,946.bbq_producer.INFO  [x] Sent ('5/22/2021 12:31', '') to 02-food-B
2023-09-24 18:11:11,226.bbq_producer.INFO  [x] Sent ('5/22/2021 12:32', '120.1') to 01-smoker
2023-09-24 18:11:11,448.bbq_producer.INFO  [x] Sent ('5/22/2021 12:32', '') to 02-food-A
2023-09-24 18:11:11,622.bbq_producer.INFO  [x] Sent ('5/22/2021 12:32', '') to 02-food-B
2023-09-24 18:11:42,002.bbq_producer.INFO  [x] Sent ('5/22/2021 12:32', '120.1') to 01-smoker
2023-09-24 18:11:42,193.bbq_producer.INFO  [x] Sent ('5/22/2021 12:32', '') to 02-food-A
2023-09-24 18:11:42,467.bbq_producer.INFO  [x] Sent ('5/22/2021 12:32', '') to 02-food-B
2023-09-24 18:12:12,695.bbq_producer.INFO  [x] Sent ('5/22/2021 12:33', '106.2') to 01-smoker
2023-09-24 18:12:12,750.bbq_producer.INFO  [x] Sent ('5/22/2021 12:33', '') to 02-food-A
2023-09-24 18:12:12,797.bbq_producer.INFO  [x] Sent ('5/22/2021 12:33', '') to 02-food-B
2023-09-24 18:12:42,867.bbq_producer.INFO  [x] Sent ('5/22/2021 12:33', '106.2') to 01-smoker
2023-09-24 18:12:42,867.bbq_producer.INFO  [x] Sent ('5/22/2021 12:33', '') to 02-food-A
2023-09-24 18:12:42,869.bbq_producer.INFO  [x] Sent ('5/22/2021 12:33', '') to 02-food-B
2023-09-24 18:13:12,889.bbq_producer.INFO  [x] Sent ('5/22/2021 12:34', '103.5') to 01-smoker
2023-09-24 18:13:12,901.bbq_producer.INFO  [x] Sent ('5/22/2021 12:34', '') to 02-food-A
2023-09-24 18:13:12,903.bbq_producer.INFO  [x] Sent ('5/22/2021 12:34', '') to 02-food-B
2023-09-24 18:13:42,908.bbq_producer.INFO  [x] Sent ('5/22/2021 12:34', '103.5') to 01-smoker
2023-09-24 18:13:42,909.bbq_producer.INFO  [x] Sent ('5/22/2021 12:34', '') to 02-food-A
2023-09-24 18:13:42,910.bbq_producer.INFO  [x] Sent ('5/22/2021 12:34', '') to 02-food-B
2023-09-24 18:14:12,938.bbq_producer.INFO  [x] Sent ('5/22/2021 12:35', '105.3') to 01-smoker
2023-09-24 18:14:13,022.bbq_producer.INFO  [x] Sent ('5/22/2021 12:35', '') to 02-food-A
2023-09-24 18:14:13,123.bbq_producer.INFO  [x] Sent ('5/22/2021 12:35', '') to 02-food-B
2023-09-24 18:14:43,193.bbq_producer.INFO  [x] Sent ('5/22/2021 12:35', '105.3') to 01-smoker
2023-09-24 18:14:43,422.bbq_producer.INFO  [x] Sent ('5/22/2021 12:35', '') to 02-food-A
2023-09-24 18:14:43,666.bbq_producer.INFO  [x] Sent ('5/22/2021 12:35', '') to 02-food-B
2023-09-24 18:15:13,865.bbq_producer.INFO  [x] Sent ('5/22/2021 12:36', '106.9') to 01-smoker
2023-09-24 18:15:13,866.bbq_producer.INFO  [x] Sent ('5/22/2021 12:36', '') to 02-food-A
2023-09-24 18:15:13,869.bbq_producer.INFO  [x] Sent ('5/22/2021 12:36', '') to 02-food-B
2023-09-24 18:15:43,887.bbq_producer.INFO  [x] Sent ('5/22/2021 12:36', '106.9') to 01-smoker
2023-09-24 18:15:43,925.bbq_producer.INFO  [x] Sent ('5/22/2021 12:36', '') to 02-food-A
2023-09-24 18:15:43,941.bbq_producer.INFO  [x] Sent ('5/22/2021 12:36', '') to 02-food-B
2023-09-24 18:16:13,970.bbq_producer.INFO  [x] Sent ('5/22/2021 12:37', '111.9') to 01-smoker
2023-09-24 18:16:13,980.bbq_producer.INFO  [x] Sent ('5/22/2021 12:37', '') to 02-food-A
2023-09-24 18:16:13,982.bbq_producer.INFO  [x] Sent ('5/22/2021 12:37', '') to 02-food-B
2023-09-24 18:16:43,995.bbq_producer.INFO  [x] Sent ('5/22/2021 12:37', '111.9') to 01-smoker
2023-09-24 18:16:44,006.bbq_producer.INFO  [x] Sent ('5/22/2021 12:37', '') to 02-food-A
2023-09-24 18:16:44,044.bbq_producer.INFO  [x] Sent ('5/22/2021 12:37', '') to 02-food-B
2023-09-24 18:17:14,137.bbq_producer.INFO  [x] Sent ('5/22/2021 12:38', '114.2') to 01-smoker
2023-09-24 18:17:14,182.bbq_producer.INFO  [x] Sent ('5/22/2021 12:38', '') to 02-food-A
2023-09-24 18:17:14,236.bbq_producer.INFO  [x] Sent ('5/22/2021 12:38', '') to 02-food-B
2023-09-24 18:17:44,298.bbq_producer.INFO  [x] Sent ('5/22/2021 12:38', '114.2') to 01-smoker
2023-09-24 18:17:44,307.bbq_producer.INFO  [x] Sent ('5/22/2021 12:38', '') to 02-food-A
2023-09-24 18:17:44,327.bbq_producer.INFO  [x] Sent ('5/22/2021 12:38', '') to 02-food-B
2023-09-24 18:18:14,374.bbq_producer.INFO  [x] Sent ('5/22/2021 12:39', '115.5') to 01-smoker
2023-09-24 18:18:14,395.bbq_producer.INFO  [x] Sent ('5/22/2021 12:39', '') to 02-food-A
2023-09-24 18:18:14,463.bbq_producer.INFO  [x] Sent ('5/22/2021 12:39', '') to 02-food-B
2023-09-24 18:18:44,628.bbq_producer.INFO  [x] Sent ('5/22/2021 12:39', '115.5') to 01-smoker
2023-09-24 18:18:44,793.bbq_producer.INFO  [x] Sent ('5/22/2021 12:39', '') to 02-food-A
2023-09-24 18:18:44,924.bbq_producer.INFO  [x] Sent ('5/22/2021 12:39', '') to 02-food-B
2023-09-24 18:19:15,259.bbq_producer.INFO  [x] Sent ('5/22/2021 12:40', '112.6') to 01-smoker
2023-09-24 18:19:15,538.bbq_producer.INFO  [x] Sent ('5/22/2021 12:40', '') to 02-food-A
2023-09-24 18:19:15,702.bbq_producer.INFO  [x] Sent ('5/22/2021 12:40', '') to 02-food-B
2023-09-24 18:19:45,843.bbq_producer.INFO  [x] Sent ('5/22/2021 12:40', '112.6') to 01-smoker
2023-09-24 18:19:45,851.bbq_producer.INFO  [x] Sent ('5/22/2021 12:40', '') to 02-food-A
2023-09-24 18:19:45,881.bbq_producer.INFO  [x] Sent ('5/22/2021 12:40', '') to 02-food-B
2023-09-24 18:20:15,941.bbq_producer.INFO  [x] Sent ('5/22/2021 12:41', '118.8') to 01-smoker
2023-09-24 18:20:16,028.bbq_producer.INFO  [x] Sent ('5/22/2021 12:41', '') to 02-food-A
2023-09-24 18:20:16,082.bbq_producer.INFO  [x] Sent ('5/22/2021 12:41', '') to 02-food-B
2023-09-24 18:20:46,132.bbq_producer.INFO  [x] Sent ('5/22/2021 12:41', '118.8') to 01-smoker
2023-09-24 18:20:46,197.bbq_producer.INFO  [x] Sent ('5/22/2021 12:41', '') to 02-food-A
2023-09-24 18:20:46,200.bbq_producer.INFO  [x] Sent ('5/22/2021 12:41', '') to 02-food-B
2023-09-24 18:21:16,206.bbq_producer.INFO  [x] Sent ('5/22/2021 12:42', '113.2') to 01-smoker
2023-09-24 18:21:16,208.bbq_producer.INFO  [x] Sent ('5/22/2021 12:42', '') to 02-food-A
2023-09-24 18:21:16,209.bbq_producer.INFO  [x] Sent ('5/22/2021 12:42', '') to 02-food-B
2023-09-24 18:21:46,225.bbq_producer.INFO  [x] Sent ('5/22/2021 12:42', '113.2') to 01-smoker
2023-09-24 18:21:46,257.bbq_producer.INFO  [x] Sent ('5/22/2021 12:42', '') to 02-food-A
2023-09-24 18:21:46,261.bbq_producer.INFO  [x] Sent ('5/22/2021 12:42', '') to 02-food-B
2023-09-24 18:22:16,314.bbq_producer.INFO  [x] Sent ('5/22/2021 12:43', '126.7') to 01-smoker
2023-09-24 18:22:16,319.bbq_producer.INFO  [x] Sent ('5/22/2021 12:43', '') to 02-food-A
2023-09-24 18:22:16,324.bbq_producer.INFO  [x] Sent ('5/22/2021 12:43', '') to 02-food-B
2023-09-24 18:22:46,433.bbq_producer.INFO  [x] Sent ('5/22/2021 12:43', '126.7') to 01-smoker
2023-09-24 18:22:46,559.bbq_producer.INFO  [x] Sent ('5/22/2021 12:43', '') to 02-food-A
2023-09-24 18:22:46,679.bbq_producer.INFO  [x] Sent ('5/22/2021 12:43', '') to 02-food-B
2023-09-24 18:23:16,869.bbq_producer.INFO  [x] Sent ('5/22/2021 12:44', '130') to 01-smoker
2023-09-24 18:23:16,955.bbq_producer.INFO  [x] Sent ('5/22/2021 12:44', '') to 02-food-A
2023-09-24 18:23:16,985.bbq_producer.INFO  [x] Sent ('5/22/2021 12:44', '') to 02-food-B
2023-09-24 18:14:17,171.bbq_producer.INFO  [x] Sent ('5/22/2021 12:44', '130') to 01-smoker
2023-09-24 18:14:17,214.bbq_producer.INFO  [x] Sent ('5/22/2021 12:44', '') to 02-food-A
2023-09-24 18:14:17,276.bbq_producer.INFO  [x] Sent ('5/22/2021 12:44', '') to 02-food-B
2023-09-24 18:14:47,436.bbq_producer.INFO  [x] Sent ('5/22/2021 12:45', '130') to 01-smoker
2023-09-24 18:14:47,524.bbq_producer.INFO  [x] Sent ('5/22/2021 12:45', '') to 02-food-A
2023-09-24 18:14:47,690.bbq_producer.INFO  [x] Sent ('5/22/2021 12:45', '') to 02-food-B
2023-09-24 18:15:17,822.bbq_producer.INFO  [x] Sent ('5/22/2021 12:45', '130') to 01-smoker
2023-09-24 18:15:17,823.bbq_producer.INFO  [x] Sent ('5/22/2021 12:45', '') to 02-food-A
2023-09-24 18:15:17,824.bbq_producer.INFO  [x] Sent ('5/22/2021 12:45', '') to 02-food-B
2023-09-24 18:15:47,829.bbq_producer.INFO  [x] Sent ('5/22/2021 12:46', '137.3') to 01-smoker
2023-09-24 18:15:47,831.bbq_producer.INFO  [x] Sent ('5/22/2021 12:46', '') to 02-food-A
2023-09-24 18:15:47,832.bbq_producer.INFO  [x] Sent ('5/22/2021 12:46', '') to 02-food-B
2023-09-24 18:16:17,837.bbq_producer.INFO  [x] Sent ('5/22/2021 12:46', '137.3') to 01-smoker
2023-09-24 18:16:17,839.bbq_producer.INFO  [x] Sent ('5/22/2021 12:46', '') to 02-food-A
2023-09-24 18:16:17,841.bbq_producer.INFO  [x] Sent ('5/22/2021 12:46', '') to 02-food-B
2023-09-24 18:16:47,887.bbq_producer.INFO  [x] Sent ('5/22/2021 12:47', '139.5') to 01-smoker
2023-09-24 18:16:47,896.bbq_producer.INFO  [x] Sent ('5/22/2021 12:47', '') to 02-food-A
2023-09-24 18:16:47,947.bbq_producer.INFO  [x] Sent ('5/22/2021 12:47', '') to 02-food-B
2023-09-24 18:17:17,976.bbq_producer.INFO  [x] Sent ('5/22/2021 12:47', '139.5') to 01-smoker
2023-09-24 18:17:18,044.bbq_producer.INFO  [x] Sent ('5/22/2021 12:47', '') to 02-food-A
2023-09-24 18:17:18,115.bbq_producer.INFO  [x] Sent ('5/22/2021 12:47', '') to 02-food-B
2023-09-24 18:17:48,219.bbq_producer.INFO  [x] Sent ('5/22/2021 12:48', '141.8') to 01-smoker
2023-09-24 18:17:48,220.bbq_producer.INFO  [x] Sent ('5/22/2021 12:48', '') to 02-food-A
2023-09-24 18:17:48,221.bbq_producer.INFO  [x] Sent ('5/22/2021 12:48', '') to 02-food-B
2023-09-24 18:18:18,225.bbq_producer.INFO  [x] Sent ('5/22/2021 12:48', '141.8') to 01-smoker
2023-09-24 18:18:18,227.bbq_producer.INFO  [x] Sent ('5/22/2021 12:48', '') to 02-food-A
2023-09-24 18:18:18,228.bbq_producer.INFO  [x] Sent ('5/22/2021 12:48', '') to 02-food-B
2023-09-24 18:18:48,235.bbq_producer.INFO  [x] Sent ('5/22/2021 12:49', '143.6') to 01-smoker
2023-09-24 18:18:48,249.bbq_producer.INFO  [x] Sent ('5/22/2021 12:49', '') to 02-food-A
2023-09-24 18:18:48,272.bbq_producer.INFO  [x] Sent ('5/22/2021 12:49', '') to 02-food-B
2023-09-24 18:19:18,337.bbq_producer.INFO  [x] Sent ('5/22/2021 12:49', '143.6') to 01-smoker
2023-09-24 18:19:18,378.bbq_producer.INFO  [x] Sent ('5/22/2021 12:49', '') to 02-food-A
2023-09-24 18:19:18,415.bbq_producer.INFO  [x] Sent ('5/22/2021 12:49', '') to 02-food-B
2023-09-24 18:19:48,535.bbq_producer.INFO  [x] Sent ('5/22/2021 12:50', '145') to 01-smoker
2023-09-24 18:19:48,619.bbq_producer.INFO  [x] Sent ('5/22/2021 12:50', '') to 02-food-A
2023-09-24 18:19:48,648.bbq_producer.INFO  [x] Sent ('5/22/2021 12:50', '') to 02-food-B
2023-09-24 18:20:18,796.bbq_producer.INFO  [x] Sent ('5/22/2021 12:50', '145') to 01-smoker
2023-09-24 18:20:18,890.bbq_producer.INFO  [x] Sent ('5/22/2021 12:50', '') to 02-food-A
2023-09-24 18:20:18,941.bbq_producer.INFO  [x] Sent ('5/22/2021 12:50', '') to 02-food-B
2023-09-24 18:20:48,971.bbq_producer.INFO  [x] Sent ('5/22/2021 12:51', '146.2') to 01-smoker
2023-09-24 18:20:48,974.bbq_producer.INFO  [x] Sent ('5/22/2021 12:51', '') to 02-food-A
2023-09-24 18:20:48,976.bbq_producer.INFO  [x] Sent ('5/22/2021 12:51', '') to 02-food-B
2023-09-24 18:21:18,985.bbq_producer.INFO  [x] Sent ('5/22/2021 12:51', '146.2') to 01-smoker
2023-09-24 18:21:18,986.bbq_producer.INFO  [x] Sent ('5/22/2021 12:51', '') to 02-food-A
2023-09-24 18:21:18,988.bbq_producer.INFO  [x] Sent ('5/22/2021 12:51', '') to 02-food-B
2023-09-24 18:21:48,995.bbq_producer.INFO  [x] Sent ('5/22/2021 12:52', '147.5') to 01-smoker
2023-09-24 18:21:48,997.bbq_producer.INFO  [x] Sent ('5/22/2021 12:52', '') to 02-food-A
2023-09-24 18:21:48,999.bbq_producer.INFO  [x] Sent ('5/22/2021 12:52', '') to 02-food-B
2023-09-24 18:22:19,042.bbq_producer.INFO  [x] Sent ('5/22/2021 12:52', '147.5') to 01-smoker
2023-09-24 18:22:19,043.bbq_producer.INFO  [x] Sent ('5/22/2021 12:52', '') to 02-food-A
2023-09-24 18:22:19,044.bbq_producer.INFO  [x] Sent ('5/22/2021 12:52', '') to 02-food-B
2023-09-24 18:22:49,069.bbq_producer.INFO  [x] Sent ('5/22/2021 12:53', '148.7') to 01-smoker
2023-09-24 18:22:49,179.bbq_producer.INFO  [x] Sent ('5/22/2021 12:53', '') to 02-food-A
2023-09-24 18:22:49,240.bbq_producer.INFO  [x] Sent ('5/22/2021 12:53', '') to 02-food-B
2023-09-24 18:23:19,320.bbq_producer.INFO  [x] Sent ('5/22/2021 12:53', '148.7') to 01-smoker
2023-09-24 18:23:19,358.bbq_producer.INFO  [x] Sent ('5/22/2021 12:53', '') to 02-food-A
2023-09-24 18:23:19,372.bbq_producer.INFO  [x] Sent ('5/22/2021 12:53', '') to 02-food-B
2023-09-24 18:23:49,517.bbq_producer.INFO  [x] Sent ('5/22/2021 12:54', '149.9') to 01-smoker
2023-09-24 18:23:49,685.bbq_producer.INFO  [x] Sent ('5/22/2021 12:54', '') to 02-food-A
2023-09-24 18:23:49,722.bbq_producer.INFO  [x] Sent ('5/22/2021 12:54', '') to 02-food-B
2023-09-24 18:24:20,062.bbq_producer.INFO  [x] Sent ('5/22/2021 12:54', '149.9') to 01-smoker
2023-09-24 18:24:20,106.bbq_producer.INFO  [x] Sent ('5/22/2021 12:54', '') to 02-food-A
2023-09-24 18:24:20,218.bbq_producer.INFO  [x] Sent ('5/22/2021 12:54', '') to 02-food-B
2023-09-24 18:24:50,247.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '151.1') to 01-smoker
2023-09-24 18:24:50,298.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '') to 02-food-A
2023-09-24 18:24:50,364.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '') to 02-food-B
2023-09-24 18:25:20,577.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '151.2') to 01-smoker
2023-09-24 18:25:20,643.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '') to 02-food-A
2023-09-24 18:25:20,726.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '') to 02-food-B
2023-09-24 18:25:50,787.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '151.2') to 01-smoker
2023-09-24 18:25:50,790.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '') to 02-food-A
2023-09-24 18:25:50,791.bbq_producer.INFO  [x] Sent ('5/22/2021 12:55', '') to 02-food-B
2023-09-24 18:26:20,895.bbq_producer.INFO  [x] Sent ('5/22/2021 12:56', '152.4') to 01-smoker
2023-09-24 18:26:21,019.bbq_producer.INFO  [x] Sent ('5/22/2021 12:56', '') to 02-food-A
2023-09-24 18:26:21,114.bbq_producer.INFO  [x] Sent ('5/22/2021 12:56', '') to 02-food-B
2023-09-24 18:26:51,173.bbq_producer.INFO  [x] Sent ('5/22/2021 12:56', '152.4') to 01-smoker
2023-09-24 18:26:51,175.bbq_producer.INFO  [x] Sent ('5/22/2021 12:56', '') to 02-food-A
2023-09-24 18:26:51,182.bbq_producer.INFO  [x] Sent ('5/22/2021 12:56', '') to 02-food-B
2023-09-24 18:27:21,194.bbq_producer.INFO  [x] Sent ('5/22/2021 12:57', '153.4') to 01-smoker
2023-09-24 18:27:21,196.bbq_producer.INFO  [x] Sent ('5/22/2021 12:57', '') to 02-food-A
2023-09-24 18:27:21,197.bbq_producer.INFO  [x] Sent ('5/22/2021 12:57', '') to 02-food-B
2023-09-24 18:27:51,202.bbq_producer.INFO  [x] Sent ('5/22/2021 12:57', '153.4') to 01-smoker
2023-09-24 18:27:51,203.bbq_producer.INFO  [x] Sent ('5/22/2021 12:57', '') to 02-food-A
2023-09-24 18:27:51,204.bbq_producer.INFO  [x] Sent ('5/22/2021 12:57', '') to 02-food-B
2023-09-24 18:28:21,218.bbq_producer.INFO  [x] Sent ('5/22/2021 12:58', '154.5') to 01-smoker
